中文名称,英文名称,功能,食品名称,最大使用量(g/kg)
富马酸一钠,monosodium fumarate,酸度调节剂,发酵水产品,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,鱼肉灌肠类,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,水产品罐头,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他水产品及其制品,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,饮料类（14.01包装饮用水除外）,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,果蔬汁类及其饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,果蔬汁（浆）类饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,蛋白饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,含乳饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,发酵型含乳饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,配制型含乳饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,乳酸菌饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,植物蛋白饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,复合蛋白饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他蛋白饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,碳酸饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,可乐型碳酸饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他型碳酸饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,茶、咖啡、植物（类）饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,茶（类）饮料类,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,咖啡（类）饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,植物饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,--,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,蛋白固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,速溶咖啡,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,含乳蛋白固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,乳酸菌含乳蛋白固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,植物蛋白固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,复合蛋白固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他蛋白固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,果蔬粉,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,果蔬固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,茶类固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,植物固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,风味固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,果味风味固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,特殊用途固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,固体碳酸饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,可乐型固体碳酸饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他型固体碳酸饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,麦芽汁发酵的非酒精固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,除上述之外的其他固体饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,特殊用途饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,风味饮料,按生产需要适量使用
富马酸一钠,monosodium fumarate,酸度调节剂,其他类饮料,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,蜜饯凉果,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,蜜饯类,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,凉果类,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,果脯类,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,话化类,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,果糕类,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,糖果,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,胶基糖果,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,除胶基糖果以外的其他糖果,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,饼干,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,夹心及装饰类饼干,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,威化饼干,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,蛋卷,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,其他饼干,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,肉罐头类,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,调味品,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,鲜味剂和助鲜剂,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,醋,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,酿造食醋,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,配制食醋,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,酱油,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,酿造酱油,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,配制酱油,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,酱及酱制品,按生产需要适量使用
甘草酸铵，甘草酸一钾及三钾,ammoniumglycyrrhizinate,monopotassium and tripotassium glycyrrhizinate,甜味剂,酿造酱,按生产需要适量使用
